Field;Crow;Ccol;p1;p2;p3;p4;p5;L;a;b
1;1;1;0;0;0;61;0;51,641;0,169;3,054
2;1;2;39;0;73;60;0;43,875;-12,593;22,126
3;1;3;0;0;0;61;0;51,641;0,169;3,054
4;1;4;57;29;0;31;0;49,728;-3,525;-22,457
5;1;5;46;38;0;7;0;56,471;9,119;-24,736
6;1;6;0;0;0;61;0;51,641;0,169;3,054
7;1;7;54;0;28;0;0;71,31;-32,981;-0,981
8;1;8;0;0;0;61;0;51,641;0,169;3,054
9;2;1;0;0;0;0;0;93,412;0,51;2,492
10;2;2;0;73;44;15;0;52,741;48,875;16,949
11;2;3;0;7;5;2;57;72,014;13,739;13,037
12;2;4;0;27;66;60;100;36,228;11,456;17,496
13;2;5;0;6;0;0;91;63,531;17,427;14,53
14;2;6;0;0;21;20;99;57,175;11,509;21,077
15;2;7;0;5;100;0;13;83,505;2,938;82,203
16;2;8;0;26;100;0;13;73,685;20,029;69,43
17;3;1;0;0;0;18;0;82,043;0,284;2,616
18;3;2;0;0;1;0;0;93,396;0,291;3,576
19;3;3;3;0;1;0;71;69,629;10,919;13,339
20;3;4;0;45;100;64;44;37,037;13,131;22,019
21;3;5;0;0;13;14;68;66,201;9,315;17,994
22;3;6;0;7;17;5;96;60,726;16,597;20,453
23;3;7;0;11;18;11;99;57,47;17,67;18,965
24;3;8;5;96;90;0;80;43,548;51,293;29,515
25;4;1;0;0;0;43;0;67,174;0,162;2,755
26;4;2;0;30;41;43;85;45,831;16,478;18,675
27;4;3;0;23;52;53;100;40,338;11,797;18,218
28;4;4;0;0;0;61;0;51,641;0,169;3,054
29;4;5;0;0;0;61;0;51,641;0,169;3,054
30;4;6;0;2;2;5;78;65,914;13,44;14,741
31;4;7;0;0;5;5;58;72,405;9,653;14,586
32;4;8;19;74;0;0;0;52,393;49,792;-12,437
33;5;1;0;0;0;61;0;51,641;0,169;3,054
34;5;2;0;0;0;5;59;72,15;10,216;12,047
35;5;3;0;0;0;61;0;51,641;0,169;3,054
36;5;4;0;0;0;61;0;51,641;0,169;3,054
37;5;5;0;0;0;61;0;51,641;0,169;3,054
38;5;6;0;0;0;61;0;51,641;0,169;3,054
39;5;7;0;24;44;46;80;46,123;13,404;19,803
40;5;8;0;0;0;61;0;51,641;0,169;3,054
41;6;1;0;0;0;79;0;37,758;0,247;2,951
42;6;2;0;5;0;1;72;68,393;14,886;13,164
43;6;3;0;0;8;1;59;73,867;10,098;16,809
44;6;4;0;4;0;4;64;69,948;13,015;11,922
45;6;5;0;5;24;27;100;53,813;12,257;20,147
46;6;6;0;26;37;31;88;50,264;17,968;20,283
47;6;7;0;0;4;0;84;66,518;13,937;16,988
48;6;8;68;0;85;21;2;55,73;-37,084;31,196
49;7;1;0;0;0;99;0;24,246;0,341;1,209
50;7;2;0;11;4;0;75;66,14;17,903;14,112
51;7;3;0;10;10;12;100;57,347;17,532;16,03
52;7;4;0;6;0;5;61;69,844;13,575;10,872
53;7;5;0;31;45;56;80;40,089;13,199;15,305
54;7;6;0;44;55;74;0;35,446;10,718;11,809
55;7;7;0;27;39;73;100;30,765;8,633;8,616
56;7;8;32;0;86;8;0;73,23;-23,434;57,404
57;8;1;0;0;0;61;0;51,641;0,169;3,054
58;8;2;0;47;100;0;13;64,997;36,668;58,77
59;8;3;0;0;0;61;0;51,641;0,169;3,054
60;8;4;89;4;0;0;54;51,081;-27,718;-27,779
61;8;5;71;100;0;33;0;30,962;21,967;-20,44
62;8;6;0;0;0;61;0;51,641;0,169;3,054
63;8;7;100;89;0;0;0;32,445;10,896;-38,34
64;8;8;0;0;0;61;0;51,641;0,169;3,054
